,Uniprot_A,Uniprot_B,Gene_A,Gene_B,ORF_A,ORF_B,Alias_A,Alias_B,Type,taxid,ppi
226467,P40337,Q16665,VHL,HIF1A,,,HGNC:12687,HGNC:4910,Co-Complex,9606,P40337:Q16665
226468,P40337,Q16878,VHL,CDO1,,,HGNC:12687,HGNC:1795,Co-Complex,9606,P40337:Q16878
226469,P40337,Q3MHD2,VHL,LSM12,,,HGNC:12687,HGNC:26407,Co-Complex,9606,P40337:Q3MHD2
226470,P40337,Q3ZAQ7,VHL,VMA21,,,HGNC:12687,HGNC:22082,Co-Complex,9606,P40337:Q3ZAQ7
226471,P40337,Q5T2B4,VHL,Q5T2B4,,,HGNC:12687,,Co-Complex,9606,P40337:Q5T2B4
226472,P40337,Q5XKP0,VHL,MICOS13,,,HGNC:12687,HGNC:33702,Co-Complex,9606,P40337:Q5XKP0
226473,P40337,Q6FHT8,VHL,RNP24,,HCG_1743563,HGNC:12687,,Co-Complex,9606,P40337:Q6FHT8
226474,P40337,Q6HA08,VHL,ASTL,,,HGNC:12687,HGNC:31704,Co-Complex,9606,P40337:Q6HA08
226475,P40337,Q6P1L8,VHL,MRPL14,,,HGNC:12687,HGNC:14279,Co-Complex,9606,P40337:Q6P1L8
226476,P40337,Q6UWL6,VHL,KIRREL2,,UNQ5827/PRO19646,HGNC:12687,HGNC:18816,Co-Complex,9606,P40337:Q6UWL6
226477,P40337,Q7Z443,VHL,PKD1L3,,,HGNC:12687,HGNC:21716,Co-Complex,9606,P40337:Q7Z443
226478,P40337,Q86SX6,VHL,GLRX5,,,HGNC:12687,HGNC:20134,Co-Complex,9606,P40337:Q86SX6
226479,P40337,Q8IUC4,VHL,RHPN2,,,HGNC:12687,HGNC:19974,Co-Complex,9606,P40337:Q8IUC4
226480,P40337,Q8N163,VHL,CCAR2,,,HGNC:12687,HGNC:23360,Co-Complex,9606,P40337:Q8N163
226481,P40337,Q8N4S0,VHL,CCDC82,,HT025,HGNC:12687,HGNC:26282,Co-Complex,9606,P40337:Q8N4S0
226482,P40337,Q8N6L1,VHL,KRTCAP2,,,HGNC:12687,HGNC:28942,Co-Complex,9606,P40337:Q8N6L1
226483,P40337,Q8NGY3,VHL,OR6K3,,,HGNC:12687,HGNC:15030,Co-Complex,9606,P40337:Q8NGY3
226484,P40337,Q8TBZ2,VHL,MYCBPAP,,,HGNC:12687,HGNC:19677,Co-Complex,9606,P40337:Q8TBZ2
226485,P40337,Q8TE49,VHL,OTUD7A,,,HGNC:12687,HGNC:20718,Co-Complex,9606,P40337:Q8TE49
226486,P40337,Q92830,VHL,KAT2A,,,HGNC:12687,HGNC:4201,Co-Complex,9606,P40337:Q92830
226487,P40337,Q92839,VHL,HAS1,,,HGNC:12687,HGNC:4818,Co-Complex,9606,P40337:Q92839
226488,P40337,Q92922,VHL,SMARCC1,,,HGNC:12687,HGNC:11104,Co-Complex,9606,P40337:Q92922
226489,P40337,Q969H8,VHL,MYDGF,,,HGNC:12687,HGNC:16948,Co-Complex,9606,P40337:Q969H8
226490,P40337,Q96AG4,VHL,LRRC59,,PRO1855,HGNC:12687,HGNC:28817,Co-Complex,9606,P40337:Q96AG4
226491,P40337,Q96FW1,VHL,OTUB1,,HSPC263,HGNC:12687,HGNC:23077,Co-Complex,9606,P40337:Q96FW1
226492,P40337,Q96QK1,VHL,VPS35,,TCCCTA00141,HGNC:12687,HGNC:13487,Co-Complex,9606,P40337:Q96QK1
226493,P40337,Q99417,VHL,MYCBP,,,HGNC:12687,HGNC:7554,Co-Complex,9606,P40337:Q99417
226494,P40337,Q99471,VHL,PFDN5,,,HGNC:12687,HGNC:8869,Co-Complex,9606,P40337:Q99471
226495,P40337,Q99595,VHL,TIMM17A,,,HGNC:12687,HGNC:17315,Co-Complex,9606,P40337:Q99595
226496,P40337,Q99700,VHL,ATXN2,,,HGNC:12687,HGNC:10555,Co-Complex,9606,P40337:Q99700
226497,P40337,Q99814,VHL,EPAS1,,,HGNC:12687,HGNC:3374,Co-Complex,9606,P40337:Q99814
226498,P40337,Q9BRA2,VHL,TXNDC17,,,HGNC:12687,HGNC:28218,Co-Complex,9606,P40337:Q9BRA2
226499,P40337,Q9BRT2,VHL,UQCC2,,,HGNC:12687,HGNC:21237,Co-Complex,9606,P40337:Q9BRT2
226500,P40337,Q9BXJ5,VHL,C1QTNF2,,UNQ6349/PRO21054,HGNC:12687,HGNC:14325,Co-Complex,9606,P40337:Q9BXJ5
226501,P40337,Q9BZR8,VHL,BCL2L14,,,HGNC:12687,HGNC:16657,Co-Complex,9606,P40337:Q9BZR8
226502,P40337,Q9H0U4,VHL,RAB1B,,,HGNC:12687,HGNC:18370,Co-Complex,9606,P40337:Q9H0U4
226503,P40337,Q9H773,VHL,DCTPP1,,CDA03,HGNC:12687,HGNC:28777,Co-Complex,9606,P40337:Q9H773
226504,P40337,Q9HAV7,VHL,GRPEL1,,,HGNC:12687,HGNC:19696,Co-Complex,9606,P40337:Q9HAV7
226505,P40337,Q9NR31,VHL,SAR1A,,,HGNC:12687,HGNC:10534,Co-Complex,9606,P40337:Q9NR31
226506,P40337,Q9NZ23,VHL,YA61,,,HGNC:12687,,Co-Complex,9606,P40337:Q9NZ23
226507,P40337,Q9P031,VHL,CCDC59,,HSPC128,HGNC:12687,HGNC:25005,Co-Complex,9606,P40337:Q9P031
226508,P40337,Q9P258,VHL,RCC2,,,HGNC:12687,HGNC:30297,Co-Complex,9606,P40337:Q9P258
226509,P40337,Q9UBQ5,VHL,EIF3K,,ARG134|HSPC029|MSTP001|PTD001,HGNC:12687,HGNC:24656,Co-Complex,9606,P40337:Q9UBQ5
226510,P40337,Q9UDY8,VHL,MALT1,,,HGNC:12687,HGNC:6819,Co-Complex,9606,P40337:Q9UDY8
226511,P40337,Q9UHV9,VHL,PFDN2,,HSPC231,HGNC:12687,HGNC:8867,Co-Complex,9606,P40337:Q9UHV9
226512,P40337,Q9UI30,VHL,TRMT112,,AD-001|HSPC152|HSPC170,HGNC:12687,HGNC:26940,Co-Complex,9606,P40337:Q9UI30
226513,P40337,Q9ULC4,VHL,MCTS1,,,HGNC:12687,HGNC:23357,Co-Complex,9606,P40337:Q9ULC4
226514,P40337,Q9UM00,VHL,TMCO1,,PNAS-10|PNAS-136|UNQ151/PRO177,HGNC:12687,HGNC:18188,Co-Complex,9606,P40337:Q9UM00
226515,P40337,Q9UNM6,VHL,PSMD13,,,HGNC:12687,HGNC:9558,Co-Complex,9606,P40337:Q9UNM6
226516,P40337,Q9UQN3,VHL,CHMP2B,,CGI-84,HGNC:12687,HGNC:24537,Co-Complex,9606,P40337:Q9UQN3
226517,P40337,Q9Y266,VHL,NUDC,,,HGNC:12687,HGNC:8045,Co-Complex,9606,P40337:Q9Y266
226518,P40337,Q9Y376,VHL,CAB39,,CGI-66,HGNC:12687,HGNC:20292,Co-Complex,9606,P40337:Q9Y376
226519,P40337,Q9Y3A3,VHL,MOB4,,CGI-95,HGNC:12687,HGNC:17261,Co-Complex,9606,P40337:Q9Y3A3
226520,P40337,Q9Y3B4,VHL,SF3B6,,CGI-110|HSPC175|HT006,HGNC:12687,HGNC:30096,Co-Complex,9606,P40337:Q9Y3B4
226521,P40337,Q9Y3C8,VHL,UFC1,,CGI-126|HSPC155,HGNC:12687,HGNC:26941,Co-Complex,9606,P40337:Q9Y3C8
226522,P40337,Q9Y3D3,VHL,MRPS16,,CGI-132,HGNC:12687,HGNC:14048,Co-Complex,9606,P40337:Q9Y3D3
226523,P40337,Q9Y3D9,VHL,MRPS23,,CGI-138|HSPC329,HGNC:12687,HGNC:14509,Co-Complex,9606,P40337:Q9Y3D9
226524,P40337,Q9Y4L1,VHL,HYOU1,,,HGNC:12687,HGNC:16931,Co-Complex,9606,P40337:Q9Y4L1
226525,P40337,Q9Y547,VHL,HSPB11,,HSPC034,HGNC:12687,HGNC:25019,Co-Complex,9606,P40337:Q9Y547
226526,P40337,Q9Y5B9,VHL,SUPT16H,,,HGNC:12687,HGNC:11465,Co-Complex,9606,P40337:Q9Y5B9
226527,P40337,Q9Y5M8,VHL,SRPRB,,PSEC0230,HGNC:12687,HGNC:24085,Co-Complex,9606,P40337:Q9Y5M8
395646,P40337,P00492,VHL,HPRT1,,,HGNC:5157,HGNC:12687,Co-Complex,9606,P00492:P40337
397056,P40337,P20930,VHL,FLG,,,HGNC:3748,HGNC:12687,Co-Complex,9606,P20930:P40337
399942,P40337,A0N4V7,VHL,TCR-ALPHA,HCG_2039797,,,HGNC:12687,Co-Complex,9606,A0N4V7:P40337
